data,tipo,numero,oggetto,settore
2022-08-18,Determinazione dirigenziale,244,Approvazione Piano triennale manutenzione strade,Servizi sociali
2022-06-21,Determinazione dirigenziale,269,Aggiudicazione servizio di consulenze legali,Servizi cimiteriali
2022-03-24,Consiglio,173,Variazione di bilancio relativa a servizio mensa scolastica,Servizi sociali
2022-07-04,Determinazione dirigenziale,15,Modifica regolamento sicurezza urbana,Servizi cimiteriali
2022-10-13,Consiglio,227,Variazione di bilancio relativa a asili nido comunali,Personale
2022-11-16,Giunta,110,Liquidazione fattura n.3676 per trasporto scolastico,Lavori pubblici
2022-05-11,Consiglio,328,Aggiudicazione servizio di biblioteca civica,Pubblica istruzione
2022-03-04,Determinazione dirigenziale,235,Indizione gara per impianti sportivi comunali,Personale
2022-10-22,Determinazione dirigenziale,3,Approvazione Piano triennale protezione civile,Lavori pubblici
2022-03-02,Determinazione dirigenziale,178,Liquidazione fattura n.6411 per biblioteca civica,Patrimonio
2022-12-18,Giunta,296,Liquidazione fattura n.1398 per fornitura cancelleria,Urbanistica
2022-11-15,Determinazione dirigenziale,287,Nomina commissione giudicatrice consulenze legali,Ambiente
2022-03-11,Giunta,140,Approvazione Piano triennale servizio mensa scolastica,Personale
2022-10-27,Determinazione dirigenziale,255,Aggiudicazione servizio di manutenzione cimiteri,Urbanistica
2022-09-17,Determinazione dirigenziale,155,Variazione di bilancio relativa a manutenzione cimiteri,Servizi sociali
2022-01-21,Determinazione dirigenziale,25,Indizione gara per trasporto scolastico,Lavori pubblici
2022-05-07,Consiglio,334,Nomina commissione giudicatrice manutenzione cimiteri,Ambiente
2022-07-07,Determinazione dirigenziale,245,Approvazione sicurezza urbana,Bilancio e tributi
2022-10-22,Giunta,114,Convenzione con servizio pulizie,Tributi
2022-01-05,Determinazione dirigenziale,65,Approvazione Piano triennale protezione civile,Servizi cimiteriali
2022-12-03,Determinazione dirigenziale,71,Modifica regolamento verde pubblico,Cultura
2022-09-04,Giunta,343,Aggiudicazione servizio di consulenze legali,Tributi
2022-03-15,Determinazione dirigenziale,276,Liquidazione fattura n.9048 per sicurezza urbana,Bilancio e tributi
2022-06-21,Determinazione dirigenziale,198,Indizione gara per eventi natalizi,Servizi cimiteriali
2022-08-18,Giunta,241,Indizione gara per servizio pulizie,Tributi
2022-03-22,Determinazione dirigenziale,126,Costituzione gruppo di lavoro per illuminazione pubblica,Urbanistica
2022-02-23,Consiglio,225,Approvazione fornitura cancelleria,Bilancio e tributi
2022-12-27,Giunta,126,Approvazione servizio mensa scolastica,Polizia locale
2022-09-19,Giunta,301,Convenzione con sicurezza urbana,Bilancio e tributi
2022-06-10,Giunta,141,Concessione contributo a eventi natalizi,Servizi sociali
2022-09-15,Consiglio,296,Liquidazione fattura n.4283 per verde pubblico,Polizia locale
2022-09-12,Determinazione dirigenziale,39,Indizione gara per ufficio anagrafe,Pubblica istruzione
2022-03-07,Giunta,216,Affidamento incarico per illuminazione pubblica,Servizi sociali
2022-01-27,Giunta,232,Nomina commissione giudicatrice verde pubblico,Sport
2022-11-11,Determinazione dirigenziale,272,Indizione gara per eventi natalizi,Servizi cimiteriali
2022-11-03,Giunta,287,Modifica regolamento verde pubblico,Lavori pubblici
2022-02-12,Determinazione dirigenziale,6,Convenzione con trasporto scolastico,Servizi sociali
2022-05-09,Determinazione dirigenziale,318,Variazione di bilancio relativa a ufficio anagrafe,Personale
2022-01-02,Giunta,181,Liquidazione fattura n.2714 per impianti sportivi comunali,Patrimonio
2022-04-06,Determinazione dirigenziale,8,Aggiudicazione servizio di noleggio fotocopiatrici,Servizi sociali
2022-04-08,Giunta,121,Concessione contributo a protezione civile,Sport
2022-02-09,Giunta,22,Approvazione Piano triennale eventi natalizi,Personale
2022-10-28,Consiglio,211,Aggiudicazione servizio di progettazione opera pubblica,Personale
2022-02-15,Consiglio,104,Modifica regolamento progettazione opera pubblica,Personale
2022-07-10,Giunta,205,Approvazione Piano triennale sicurezza urbana,Servizi cimiteriali
2022-04-25,Determinazione dirigenziale,56,Approvazione biblioteca civica,Bilancio e tributi
2022-07-18,Consiglio,14,Concessione contributo a trasporto scolastico,Urbanistica
2022-01-26,Determinazione dirigenziale,62,Liquidazione fattura n.3455 per sicurezza urbana,Personale
2022-10-18,Giunta,32,Concessione contributo a consulenze legali,Lavori pubblici
2022-05-15,Giunta,41,Affidamento incarico per verde pubblico,Polizia locale
2022-02-04,Determinazione dirigenziale,276,Convenzione con sicurezza urbana,Pubblica istruzione
2022-04-28,Determinazione dirigenziale,225,Nomina commissione giudicatrice biblioteca civica,Bilancio e tributi
2022-09-03,Determinazione dirigenziale,206,Approvazione Piano triennale ufficio anagrafe,Bilancio e tributi
2022-10-07,Giunta,155,Costituzione gruppo di lavoro per ufficio anagrafe,Servizi cimiteriali
2022-08-08,Consiglio,92,Nomina commissione giudicatrice fornitura cancelleria,Urbanistica
2022-08-11,Determinazione dirigenziale,309,Convenzione con sicurezza urbana,Pubblica istruzione
2022-02-27,Giunta,184,Convenzione con servizio mensa scolastica,Pubblica istruzione
2022-03-08,Consiglio,315,Affidamento incarico per sicurezza urbana,Servizi sociali
2022-05-07,Determinazione dirigenziale,210,Approvazione progettazione opera pubblica,Ambiente
2022-12-07,Determinazione dirigenziale,63,Variazione di bilancio relativa a manutenzione strade,Urbanistica
2022-12-12,Consiglio,231,Liquidazione fattura n.1233 per progettazione opera pubblica,Ambiente
2022-05-14,Determinazione dirigenziale,246,Convenzione con biblioteca civica,Pubblica istruzione
2022-06-11,Determinazione dirigenziale,240,Modifica regolamento sicurezza urbana,Pubblica istruzione
2022-07-22,Determinazione dirigenziale,59,Affidamento incarico per impianti sportivi comunali,Servizi sociali
2022-03-11,Determinazione dirigenziale,55,Convenzione con manutenzione cimiteri,Servizi cimiteriali
2022-03-21,Determinazione dirigenziale,29,Indizione gara per impianti sportivi comunali,Cultura
2022-02-17,Determinazione dirigenziale,210,Convenzione con verde pubblico,Tributi
2022-01-14,Giunta,234,Modifica regolamento asili nido comunali,Servizi cimiteriali
2022-10-21,Determinazione dirigenziale,20,Indizione gara per consulenze legali,Sport
2022-01-23,Determinazione dirigenziale,222,Approvazione Piano triennale eventi natalizi,Ambiente
2022-02-06,Determinazione dirigenziale,261,Costituzione gruppo di lavoro per progettazione opera pubblica,Cultura
2022-09-05,Giunta,6,Liquidazione fattura n.4733 per sicurezza urbana,Tributi
2022-02-16,Determinazione dirigenziale,312,Convenzione con verde pubblico,Patrimonio
2022-03-08,Determinazione dirigenziale,260,Concessione contributo a protezione civile,Urbanistica
2022-03-16,Determinazione dirigenziale,212,Variazione di bilancio relativa a biblioteca civica,Tributi
2022-03-03,Determinazione dirigenziale,35,Approvazione manutenzione cimiteri,Polizia locale
2023-01-11,Giunta,42,Nomina commissione giudicatrice sicurezza urbana,Cultura
2023-09-20,Determinazione dirigenziale,293,Affidamento incarico per asili nido comunali,Ambiente
2023-02-16,Consiglio,283,Concessione contributo a fornitura cancelleria,Pubblica istruzione
2023-01-03,Determinazione dirigenziale,142,Liquidazione fattura n.4376 per impianti sportivi comunali,Tributi
2023-04-05,Determinazione dirigenziale,269,Indizione gara per servizio pulizie,Sport
2023-10-06,Consiglio,124,Indizione gara per sicurezza urbana,Servizi cimiteriali
2023-11-09,Determinazione dirigenziale,45,Approvazione Piano triennale protezione civile,Patrimonio
2023-01-11,Determinazione dirigenziale,276,Concessione contributo a sicurezza urbana,Ambiente
2023-10-25,Determinazione dirigenziale,225,Convenzione con servizio pulizie,Cultura
2023-08-26,Consiglio,188,Modifica regolamento biblioteca civica,Urbanistica
2023-07-08,Giunta,185,Approvazione servizio mensa scolastica,Personale
2023-02-02,Determinazione dirigenziale,106,Variazione di bilancio relativa a illuminazione pubblica,Cultura
2023-10-10,Giunta,249,Indizione gara per illuminazione pubblica,Servizi sociali
2023-05-21,Determinazione dirigenziale,20,Indizione gara per servizio mensa scolastica,Personale
2023-04-08,Consiglio,256,Liquidazione fattura n.4425 per eventi natalizi,Pubblica istruzione
2023-09-12,Giunta,267,Modifica regolamento eventi natalizi,Polizia locale
2023-08-13,Determinazione dirigenziale,338,Indizione gara per asili nido comunali,Polizia locale
2023-07-14,Giunta,83,Costituzione gruppo di lavoro per progettazione opera pubblica,Urbanistica
2023-07-18,Giunta,301,Nomina commissione giudicatrice ufficio anagrafe,Personale
2023-12-22,Determinazione dirigenziale,104,Approvazione Piano triennale noleggio fotocopiatrici,Patrimonio
2023-03-08,Determinazione dirigenziale,121,Variazione di bilancio relativa a biblioteca civica,Ambiente
2023-03-07,Consiglio,302,Nomina commissione giudicatrice asili nido comunali,Servizi sociali
2023-09-28,Determinazione dirigenziale,122,Modifica regolamento protezione civile,Pubblica istruzione
2023-10-03,Determinazione dirigenziale,262,Convenzione con noleggio fotocopiatrici,Urbanistica
2023-11-02,Giunta,96,Concessione contributo a eventi natalizi,Patrimonio
2023-07-25,Giunta,280,Variazione di bilancio relativa a illuminazione pubblica,Patrimonio
2023-04-17,Determinazione dirigenziale,182,Indizione gara per biblioteca civica,Servizi sociali
2023-12-01,Consiglio,315,Affidamento incarico per fornitura cancelleria,Patrimonio
2023-02-27,Giunta,317,Variazione di bilancio relativa a manutenzione strade,Servizi sociali
2023-12-21,Giunta,193,Affidamento incarico per progettazione opera pubblica,Personale
2023-06-09,Giunta,234,Nomina commissione giudicatrice illuminazione pubblica,Sport
2023-09-24,Determinazione dirigenziale,178,Variazione di bilancio relativa a sicurezza urbana,Personale
2023-07-04,Determinazione dirigenziale,112,Liquidazione fattura n.1518 per consulenze legali,Bilancio e tributi
2023-04-10,Determinazione dirigenziale,277,Costituzione gruppo di lavoro per trasporto scolastico,Sport
2023-06-24,Determinazione dirigenziale,284,Aggiudicazione servizio di progettazione opera pubblica,Patrimonio
2023-01-22,Determinazione dirigenziale,124,Modifica regolamento sicurezza urbana,Cultura
2023-01-06,Determinazione dirigenziale,55,Nomina commissione giudicatrice progettazione opera pubblica,Lavori pubblici
2023-05-02,Determinazione dirigenziale,65,Indizione gara per ufficio anagrafe,Servizi cimiteriali
2023-10-18,Determinazione dirigenziale,191,Modifica regolamento progettazione opera pubblica,Bilancio e tributi
2023-03-22,Consiglio,257,Convenzione con ufficio anagrafe,Tributi
2023-12-03,Giunta,174,Aggiudicazione servizio di manutenzione strade,Urbanistica
2023-09-16,Determinazione dirigenziale,224,Nomina commissione giudicatrice trasporto scolastico,Urbanistica
2023-03-20,Determinazione dirigenziale,83,Approvazione progettazione opera pubblica,Patrimonio
2023-02-05,Giunta,227,Liquidazione fattura n.2395 per manutenzione cimiteri,Ambiente
2023-11-02,Giunta,126,Costituzione gruppo di lavoro per sicurezza urbana,Lavori pubblici
2023-02-13,Determinazione dirigenziale,137,Liquidazione fattura n.8281 per fornitura cancelleria,Ambiente
2023-04-07,Giunta,187,Aggiudicazione servizio di servizio mensa scolastica,Sport
2023-01-17,Giunta,51,Approvazione fornitura cancelleria,Lavori pubblici
2023-04-28,Determinazione dirigenziale,248,Convenzione con servizio pulizie,Servizi cimiteriali
2023-03-25,Giunta,185,Costituzione gruppo di lavoro per noleggio fotocopiatrici,Ambiente
2023-12-16,Giunta,153,Concessione contributo a eventi natalizi,Personale
2023-11-25,Determinazione dirigenziale,250,Costituzione gruppo di lavoro per sicurezza urbana,Cultura
2023-08-10,Giunta,163,Modifica regolamento biblioteca civica,Urbanistica
2023-04-02,Determinazione dirigenziale,149,Costituzione gruppo di lavoro per eventi natalizi,Servizi cimiteriali
2023-02-02,Consiglio,80,Concessione contributo a asili nido comunali,Lavori pubblici
2023-01-01,Consiglio,159,Affidamento incarico per manutenzione cimiteri,Polizia locale
2023-05-17,Giunta,188,Variazione di bilancio relativa a servizio pulizie,Cultura
2023-05-08,Giunta,260,Indizione gara per ufficio anagrafe,Cultura
2023-03-15,Giunta,128,Approvazione Piano triennale protezione civile,Servizi sociali
2023-06-03,Determinazione dirigenziale,15,Costituzione gruppo di lavoro per asili nido comunali,Polizia locale
2023-01-13,Determinazione dirigenziale,201,Variazione di bilancio relativa a noleggio fotocopiatrici,Servizi cimiteriali
2023-02-22,Determinazione dirigenziale,32,Approvazione fornitura cancelleria,Pubblica istruzione
2023-09-02,Determinazione dirigenziale,192,Approvazione Piano triennale sicurezza urbana,Lavori pubblici
2023-10-19,Determinazione dirigenziale,169,Nomina commissione giudicatrice illuminazione pubblica,Bilancio e tributi
2023-07-21,Giunta,104,Liquidazione fattura n.2309 per biblioteca civica,Bilancio e tributi
2023-10-03,Consiglio,10,Approvazione Piano triennale eventi natalizi,Patrimonio
2023-05-07,Determinazione dirigenziale,262,Costituzione gruppo di lavoro per protezione civile,Tributi
2023-02-21,Consiglio,135,Concessione contributo a servizio mensa scolastica,Sport
2023-10-07,Determinazione dirigenziale,85,Approvazione progettazione opera pubblica,Servizi sociali
2023-11-10,Determinazione dirigenziale,32,Costituzione gruppo di lavoro per fornitura cancelleria,Polizia locale
2023-04-11,Determinazione dirigenziale,128,Approvazione Piano triennale sicurezza urbana,Personale
2023-12-06,Determinazione dirigenziale,344,Costituzione gruppo di lavoro per biblioteca civica,Patrimonio
2023-02-03,Determinazione dirigenziale,70,Liquidazione fattura n.2376 per asili nido comunali,Polizia locale
2023-04-11,Consiglio,300,Costituzione gruppo di lavoro per illuminazione pubblica,Cultura
2023-06-06,Determinazione dirigenziale,309,Aggiudicazione servizio di noleggio fotocopiatrici,Servizi sociali
2023-01-26,Determinazione dirigenziale,191,Indizione gara per eventi natalizi,Sport
2023-02-14,Giunta,165,Concessione contributo a ufficio anagrafe,Sport
2023-11-27,Determinazione dirigenziale,146,Variazione di bilancio relativa a ufficio anagrafe,Bilancio e tributi
2023-11-06,Determinazione dirigenziale,267,Modifica regolamento noleggio fotocopiatrici,Personale
2023-01-22,Determinazione dirigenziale,172,Costituzione gruppo di lavoro per illuminazione pubblica,Ambiente
2023-08-06,Determinazione dirigenziale,208,Affidamento incarico per verde pubblico,Servizi cimiteriali
2023-03-26,Determinazione dirigenziale,90,Variazione di bilancio relativa a manutenzione strade,Urbanistica
2023-12-22,Determinazione dirigenziale,304,Modifica regolamento biblioteca civica,Tributi
2023-03-17,Consiglio,104,Liquidazione fattura n.1207 per ufficio anagrafe,Personale
2023-01-13,Giunta,168,Indizione gara per noleggio fotocopiatrici,Polizia locale
2023-04-16,Determinazione dirigenziale,280,Aggiudicazione servizio di fornitura cancelleria,Ambiente
2023-12-22,Determinazione dirigenziale,268,Liquidazione fattura n.809 per eventi natalizi,Pubblica istruzione
2023-05-07,Giunta,205,Aggiudicazione servizio di verde pubblico,Ambiente
2023-04-20,Determinazione dirigenziale,314,Convenzione con servizio pulizie,Sport
2023-10-09,Determinazione dirigenziale,41,Approvazione servizio mensa scolastica,Polizia locale
2023-07-07,Giunta,161,Variazione di bilancio relativa a servizio mensa scolastica,Pubblica istruzione
2023-10-24,Consiglio,28,Convenzione con illuminazione pubblica,Sport
2023-12-28,Giunta,33,Indizione gara per ufficio anagrafe,Bilancio e tributi
2023-12-02,Determinazione dirigenziale,207,Nomina commissione giudicatrice trasporto scolastico,Tributi
2023-11-24,Determinazione dirigenziale,264,Approvazione sicurezza urbana,Personale
2023-07-10,Giunta,113,Approvazione Piano triennale impianti sportivi comunali,Patrimonio
2023-02-04,Determinazione dirigenziale,282,Modifica regolamento eventi natalizi,Polizia locale
2023-10-17,Giunta,36,Modifica regolamento verde pubblico,Pubblica istruzione
2023-12-09,Determinazione dirigenziale,86,Nomina commissione giudicatrice sicurezza urbana,Personale
2023-08-21,Determinazione dirigenziale,272,Indizione gara per illuminazione pubblica,Tributi
2023-04-02,Determinazione dirigenziale,322,Indizione gara per sicurezza urbana,Pubblica istruzione
2023-10-22,Giunta,80,Approvazione servizio pulizie,Pubblica istruzione
2023-02-23,Determinazione dirigenziale,22,Convenzione con consulenze legali,Cultura
2023-08-24,Determinazione dirigenziale,14,Approvazione trasporto scolastico,Personale
2023-12-09,Determinazione dirigenziale,321,Liquidazione fattura n.9054 per manutenzione strade,Pubblica istruzione
2023-01-16,Consiglio,47,Aggiudicazione servizio di trasporto scolastico,Pubblica istruzione
2023-04-10,Determinazione dirigenziale,106,Nomina commissione giudicatrice trasporto scolastico,Bilancio e tributi
2023-05-10,Determinazione dirigenziale,335,Aggiudicazione servizio di verde pubblico,Patrimonio
2023-07-12,Giunta,157,Approvazione Piano triennale verde pubblico,Patrimonio
2023-06-22,Determinazione dirigenziale,24,Approvazione Piano triennale protezione civile,Cultura
2023-04-09,Giunta,323,Convenzione con impianti sportivi comunali,Cultura
2023-11-15,Determinazione dirigenziale,327,Convenzione con servizio pulizie,Bilancio e tributi
2023-07-18,Giunta,199,Liquidazione fattura n.973 per illuminazione pubblica,Personale
2023-07-14,Determinazione dirigenziale,302,Approvazione Piano triennale trasporto scolastico,Bilancio e tributi
2023-12-11,Determinazione dirigenziale,111,Nomina commissione giudicatrice trasporto scolastico,Lavori pubblici
2023-01-22,Determinazione dirigenziale,33,Costituzione gruppo di lavoro per noleggio fotocopiatrici,Servizi cimiteriali
2023-06-21,Determinazione dirigenziale,273,Modifica regolamento biblioteca civica,Lavori pubblici
2023-11-09,Determinazione dirigenziale,114,Indizione gara per servizio mensa scolastica,Polizia locale
2023-04-22,Giunta,91,Liquidazione fattura n.7881 per ufficio anagrafe,Servizi cimiteriali
2023-11-05,Determinazione dirigenziale,276,Convenzione con biblioteca civica,Sport
2023-01-11,Determinazione dirigenziale,324,Approvazione verde pubblico,Patrimonio
2023-10-21,Giunta,278,Modifica regolamento servizio mensa scolastica,Servizi sociali
2023-02-18,Giunta,146,Nomina commissione giudicatrice servizio pulizie,Pubblica istruzione
2023-12-27,Determinazione dirigenziale,334,Variazione di bilancio relativa a impianti sportivi comunali,Pubblica istruzione
2023-06-25,Determinazione dirigenziale,134,Variazione di bilancio relativa a manutenzione strade,Sport
2023-04-06,Giunta,143,Concessione contributo a impianti sportivi comunali,Servizi cimiteriali
2023-05-06,Determinazione dirigenziale,136,Affidamento incarico per biblioteca civica,Cultura
2023-01-11,Giunta,213,Variazione di bilancio relativa a servizio mensa scolastica,Sport
2023-04-03,Determinazione dirigenziale,251,Approvazione servizio pulizie,Pubblica istruzione
2023-05-04,Determinazione dirigenziale,78,Indizione gara per consulenze legali,Servizi cimiteriali
2023-12-06,Determinazione dirigenziale,273,Modifica regolamento manutenzione cimiteri,Polizia locale
2023-03-02,Determinazione dirigenziale,291,Approvazione Piano triennale consulenze legali,Patrimonio
2023-12-24,Determinazione dirigenziale,59,Convenzione con protezione civile,Polizia locale
2023-08-27,Determinazione dirigenziale,69,Nomina commissione giudicatrice illuminazione pubblica,Cultura
2023-06-10,Determinazione dirigenziale,193,Costituzione gruppo di lavoro per impianti sportivi comunali,Cultura
2023-10-16,Determinazione dirigenziale,35,Aggiudicazione servizio di manutenzione strade,Urbanistica
2023-05-13,Determinazione dirigenziale,154,Affidamento incarico per asili nido comunali,Tributi
2023-06-20,Determinazione dirigenziale,39,Affidamento incarico per noleggio fotocopiatrici,Pubblica istruzione
2023-10-19,Determinazione dirigenziale,47,Indizione gara per impianti sportivi comunali,Patrimonio
2023-05-09,Determinazione dirigenziale,323,Indizione gara per manutenzione strade,Ambiente
2023-04-15,Consiglio,196,Variazione di bilancio relativa a noleggio fotocopiatrici,Ambiente
2023-11-03,Determinazione dirigenziale,264,Approvazione servizio mensa scolastica,Sport
2023-08-16,Determinazione dirigenziale,342,Liquidazione fattura n.8083 per protezione civile,Servizi sociali
2023-09-16,Consiglio,127,Costituzione gruppo di lavoro per servizio mensa scolastica,Personale
2023-03-19,Giunta,71,Costituzione gruppo di lavoro per fornitura cancelleria,Urbanistica
2023-07-21,Determinazione dirigenziale,280,Indizione gara per manutenzione cimiteri,Servizi cimiteriali
2023-04-09,Determinazione dirigenziale,63,Liquidazione fattura n.1449 per manutenzione strade,Polizia locale
2023-04-22,Giunta,339,Modifica regolamento sicurezza urbana,Sport
2023-05-18,Giunta,68,Variazione di bilancio relativa a illuminazione pubblica,Tributi
2023-11-23,Giunta,193,Liquidazione fattura n.4396 per consulenze legali,Pubblica istruzione
2023-09-23,Giunta,141,Concessione contributo a illuminazione pubblica,Urbanistica
2023-11-08,Consiglio,47,Nomina commissione giudicatrice verde pubblico,Tributi
2023-11-24,Determinazione dirigenziale,277,Variazione di bilancio relativa a asili nido comunali,Pubblica istruzione
2023-02-26,Giunta,122,Nomina commissione giudicatrice trasporto scolastico,Ambiente
2023-03-26,Determinazione dirigenziale,126,Liquidazione fattura n.4566 per sicurezza urbana,Bilancio e tributi
2023-12-15,Determinazione dirigenziale,318,Indizione gara per consulenze legali,Polizia locale
2023-07-07,Consiglio,130,Liquidazione fattura n.4793 per verde pubblico,Sport
2023-08-07,Giunta,121,Aggiudicazione servizio di sicurezza urbana,Sport
2024-08-09,Giunta,287,Modifica regolamento servizio mensa scolastica,Patrimonio
2024-02-22,Consiglio,347,Aggiudicazione servizio di servizio pulizie,Servizi cimiteriali
2024-07-14,Determinazione dirigenziale,238,Affidamento incarico per eventi natalizi,Tributi
2024-02-14,Giunta,221,Variazione di bilancio relativa a trasporto scolastico,Ambiente
2024-03-27,Determinazione dirigenziale,239,Affidamento incarico per noleggio fotocopiatrici,Polizia locale
2024-02-09,Determinazione dirigenziale,11,Aggiudicazione servizio di verde pubblico,Urbanistica
2024-01-18,Determinazione dirigenziale,55,Costituzione gruppo di lavoro per progettazione opera pubblica,Personale
2024-12-15,Determinazione dirigenziale,199,Convenzione con illuminazione pubblica,Lavori pubblici
2024-01-04,Determinazione dirigenziale,322,Variazione di bilancio relativa a impianti sportivi comunali,Urbanistica
2024-01-14,Consiglio,271,Affidamento incarico per verde pubblico,Sport
2024-07-24,Giunta,48,Liquidazione fattura n.8259 per eventi natalizi,Lavori pubblici
2024-02-10,Determinazione dirigenziale,172,Variazione di bilancio relativa a servizio pulizie,Urbanistica
2024-11-06,Determinazione dirigenziale,174,Nomina commissione giudicatrice eventi natalizi,Personale
2024-02-16,Determinazione dirigenziale,55,Indizione gara per consulenze legali,Servizi cimiteriali
2024-04-22,Determinazione dirigenziale,214,Aggiudicazione servizio di progettazione opera pubblica,Lavori pubblici
